Date,Price,High,Low,Close,Adj Close,Volume
05/09/2023,30.700001,30.700001,29.85,29.9,29.381708,46600
06/09/2023,29.9,30.219999,29.9,30.15,29.627377,39700
07/09/2023,30.129999,30.129999,29.67,30.02,29.49963,67800
08/09/2023,30.02,30.27,29.9,30.02,29.49963,24700
11/09/2023,30.18,30.41,29.950001,30.4,29.873041,48300
12/09/2023,30.41,30.91,30.33,30.9,30.364374,67400
13/09/2023,30.860001,31.389999,30.799999,31.309999,30.767269,50800
14/09/2023,31.360001,32,31.360001,31.950001,31.396175,43500
15/09/2023,31.959999,32.09,31.5,31.57,31.022762,151200
18/09/2023,31.620001,31.68,30.799999,30.9,30.364374,88200
19/09/2023,30.879999,31.440001,30.809999,31.09,30.551083,102000
20/09/2023,31.139999,31.709999,30.73,31.35,30.806576,68200
21/09/2023,31.129999,31.42,30.75,30.85,30.315241,115700
22/09/2023,30.83,30.860001,30.09,30.129999,29.607721,100700
25/09/2023,30,30.35,29.440001,29.540001,29.02795,100800
26/09/2023,29.49,30,29.120001,29.18,28.674192,83100
27/09/2023,29.459999,29.889999,28.700001,29.190001,28.684017,94500
28/09/2023,28.969999,29.139999,28.639999,28.709999,28.212336,87300
29/09/2023,28.860001,28.860001,28.16,28.25,27.760311,102800
02/10/2023,28.120001,28.85,27.77,27.83,27.347589,73100
03/10/2023,27.59,27.59,23.799999,23.940001,23.525021,386000
04/10/2023,24.469999,25.26,24.32,25.200001,24.763182,139500
05/10/2023,25.129999,25.440001,24.629999,24.74,24.311153,119500
06/10/2023,24.700001,25.68,24.379999,25.360001,24.920404,115500
09/10/2023,25.190001,25.620001,25.190001,25.41,24.96954,66000
10/10/2023,25.610001,26.1,25.030001,25.16,24.723873,85900
11/10/2023,25.32,26.02,24.959999,25.83,25.382259,106900
12/10/2023,25.77,25.77,24.33,24.85,24.419249,85200
13/10/2023,25,25.040001,24.17,24.370001,23.947569,118100
16/10/2023,24.629999,24.799999,24.35,24.559999,24.134274,115100
17/10/2023,24.58,25.129999,24.5,24.68,24.252193,92100
18/10/2023,24.48,24.48,23.370001,23.58,23.171261,104400
19/10/2023,23.559999,23.700001,22.9,23.01,22.611143,140100
20/10/2023,23.07,23.4,22.68,22.799999,22.404779,79200
23/10/2023,22.790001,22.93,22.23,22.290001,21.903622,80000
24/10/2023,22.52,22.52,21.780001,22.219999,21.834835,157100
25/10/2023,22.07,22.209999,21.700001,21.85,21.471251,87100
26/10/2023,22,22,21.34,21.52,21.146971,80700
27/10/2023,21.379999,21.469999,21,21.18,20.812864,238300
30/10/2023,21.48,21.92,21.280001,21.450001,21.078184,115800
31/10/2023,21.34,21.709999,21.25,21.6,21.225584,100400
01/11/2023,21.459999,21.459999,20.91,21.18,20.812864,106600
02/11/2023,21.59,22.959999,21.59,22.93,22.53253,126500
03/11/2023,23.17,23.82,23.059999,23.25,22.960131,102200
06/11/2023,23.02,23.02,22.41,22.969999,22.68362,67300
07/11/2023,22.959999,23.32,22.48,23.120001,22.831751,89600
08/11/2023,23.17,23.27,22.469999,22.83,22.545364,178900
09/11/2023,20.66,22.07,18.059999,21.17,20.906063,514700
10/11/2023,21.280001,21.280001,20.280001,20.969999,20.708555,235200
13/11/2023,20.91,21.52,20.110001,20.15,19.898779,221100
14/11/2023,20.85,22.27,20.610001,22,21.725714,310300
15/11/2023,22.139999,22.629999,21.379999,21.709999,21.439327,169600
16/11/2023,21.610001,21.870001,21.1,21.4,21.133194,170400
17/11/2023,21.620001,22.639999,21.200001,22.58,22.298485,172200
20/11/2023,22.700001,22.74,21.790001,22.030001,21.755342,166300
21/11/2023,21.809999,22.34,21.629999,22.110001,21.834345,80800
22/11/2023,22.200001,22.66,22,22.42,22.140478,74100
24/11/2023,22.530001,22.85,22.32,22.709999,22.426861,45500
27/11/2023,22.42,22.74,22.25,22.379999,22.100977,99900
28/11/2023,22.6,22.77,22.1,22.57,22.288609,67100
29/11/2023,22.799999,23.030001,22.129999,22.309999,22.031849,97800
30/11/2023,22.360001,22.860001,22.049999,22.59,22.308359,113400
01/12/2023,22.5,23.27,22.450001,23.15,22.861378,101900
04/12/2023,23.15,23.66,23.15,23.51,23.216888,85400
05/12/2023,23.309999,23.52,22.889999,23.43,23.137888,138800
06/12/2023,23.77,24.1,23.530001,23.57,23.27614,83600
07/12/2023,23.57,24.58,23.32,24.559999,24.253798,134500
08/12/2023,24.5,25.309999,24.5,24.91,24.599434,83900
11/12/2023,24.66,25.01,24.34,24.700001,24.392054,98400
12/12/2023,24.530001,24.629999,24.23,24.35,24.046417,62300
13/12/2023,24.209999,25.17,23.799999,25.049999,24.737686,168300
14/12/2023,25.77,26.389999,25.15,25.459999,25.142576,122900
15/12/2023,25.719999,25.719999,24.83,25.120001,24.806818,196600
18/12/2023,24.950001,25.299999,24.5,25.120001,24.806818,92800
19/12/2023,25.25,25.540001,24.99,25.360001,25.043823,138200
20/12/2023,25.469999,25.719999,24.639999,24.639999,24.3328,227500
21/12/2023,24.77,25.129999,24.57,25.120001,24.806818,142800
22/12/2023,25.139999,25.49,24.879999,25.219999,24.905569,114500
26/12/2023,25.110001,25.4,24.99,25.35,25.033949,77000
27/12/2023,25.379999,25.450001,25.17,25.309999,24.994446,99600
28/12/2023,25.02,25.469999,25.01,25.290001,24.974697,72900
29/12/2023,25.129999,25.51,24.85,25.01,24.698187,70000
02/01/2024,25.17,25.440001,25.01,25.110001,24.796942,59900
03/01/2024,25.01,25.01,24.24,24.370001,24.066168,110000
04/01/2024,24.48,24.559999,24.16,24.370001,24.066168,70800
05/01/2024,24.139999,25.16,24.02,24.700001,24.392054,194500
08/01/2024,24.84,25.219999,24.440001,24.700001,24.392054,131100
09/01/2024,24.370001,24.540001,24.209999,24.49,24.184669,65800
10/01/2024,24.280001,24.57,24.17,24.280001,23.977289,72800
11/01/2024,24.110001,24.26,23.459999,23.73,23.434145,115700
12/01/2024,24.1,24.15,23.719999,23.9,23.602026,75600
16/01/2024,23.84,24.02,23.450001,23.559999,23.266266,69900
17/01/2024,23.15,23.459999,23.049999,23.25,22.960131,68800
18/01/2024,23.379999,23.440001,22.91,23.200001,22.910753,78400
19/01/2024,23.33,23.450001,22.84,23.41,23.118134,112500
22/01/2024,23.549999,24.59,23.5,24.559999,24.253798,87900
23/01/2024,24.870001,25,24.17,24.700001,24.392054,96800
24/01/2024,24.77,24.91,24.09,24.219999,23.918036,65600
25/01/2024,24.690001,25.25,24.52,25.17,24.856194,99400
26/01/2024,25.33,25.639999,25.110001,25.309999,24.994446,156400
29/01/2024,25.299999,25.48,24.799999,25.379999,25.063574,124800
30/01/2024,25.17,25.48,24.99,25.219999,24.905569,60500
31/01/2024,25.17,25.459999,24.48,24.709999,24.401926,101900
01/02/2024,24.74,25.34,24.51,25.219999,24.905569,73700
02/02/2024,24.719999,24.91,24.5,24.799999,24.601032,72200
05/02/2024,24.66,24.66,24.07,24.09,23.896729,62600
06/02/2024,23.98,24.280001,23.73,23.82,23.628895,98200
07/02/2024,23.84,23.84,23,23.120001,22.934511,59300
08/02/2024,23.120001,23.66,22.959999,23.530001,23.341223,81200
09/02/2024,23.620001,24.58,23.620001,24.35,24.154644,85000
12/02/2024,24.549999,25.5,24.549999,25.299999,25.097019,73400
13/02/2024,24.43,24.73,24.280001,24.32,24.124884,104300
14/02/2024,24.84,25.049999,24.530001,24.860001,24.660551,67100
15/02/2024,25.08,25.59,24.83,25.4,25.196218,93800
16/02/2024,25.1,25.690001,25.030001,25.66,25.454134,68900
20/02/2024,25.190001,25.629999,24.84,25.18,24.977985,72100
21/02/2024,25.15,25.42,24.82,25.08,24.878786,75800
22/02/2024,25.65,27.469999,24.9,25.58,25.374775,184000
23/02/2024,25.57,26.809999,25.57,26.4,26.188196,167600
26/02/2024,26.32,26.450001,25.07,25.26,25.057341,119000
27/02/2024,25.42,25.709999,25.049999,25.08,24.878786,82100
28/02/2024,25,25.360001,24.620001,24.639999,24.442316,92200
29/02/2024,25.07,25.23,24.75,24.82,24.620872,80400
01/03/2024,24.75,24.77,24.1,24.41,24.214163,102500
04/03/2024,24.549999,25.200001,24.49,24.809999,24.610952,70400
05/03/2024,24.549999,24.83,24.290001,24.5,24.30344,72700
06/03/2024,24.6,25.440001,24.6,25.290001,25.087101,80000
07/03/2024,25.41,25.700001,25.120001,25.66,25.454134,104500
08/03/2024,25.799999,26.35,25.58,25.9,25.692207,108000
11/03/2024,25.67,26.110001,25.58,25.98,25.771566,56400
12/03/2024,26.559999,26.559999,26.01,26.35,26.138597,93000
13/03/2024,26.059999,26.5,25.870001,26.139999,25.930281,101500
14/03/2024,25.9,26.190001,24.860001,25.370001,25.16646,89600
15/03/2024,25.129999,25.83,25.129999,25.58,25.374775,185500
18/03/2024,25.52,25.57,25.15,25.450001,25.245819,67700
19/03/2024,25.450001,26.01,25.450001,25.98,25.771566,72900
20/03/2024,25.98,26.59,25.780001,26.58,26.366753,163600
21/03/2024,26.9,27.059999,26.709999,26.799999,26.584986,130800
22/03/2024,26.620001,26.620001,26.139999,26.35,26.138597,100800
25/03/2024,26.33,26.690001,26.32,26.59,26.376673,92800
26/03/2024,26.889999,27.110001,26.49,26.559999,26.346912,94700
27/03/2024,26.559999,27.26,26.559999,27.01,26.793303,98300
28/03/2024,27.02,27.290001,26.879999,27.040001,26.823063,77200
01/04/2024,27.040001,27.040001,26.360001,26.52,26.307234,95000
02/04/2024,26.25,26.459999,25.549999,25.58,25.374775,80300
03/04/2024,25.440001,25.9,25.42,25.76,25.553331,59000
04/04/2024,25.98,26.049999,24.92,24.99,24.789509,92800
05/04/2024,24.85,25.15,24.66,24.99,24.789509,64500
08/04/2024,25.200001,25.66,25.040001,25.5,25.295416,70500
09/04/2024,25.5,25.57,25.110001,25.26,25.057341,62900
10/04/2024,24.68,24.73,23.9,24.190001,23.995928,96600
11/04/2024,24.4,24.709999,24.25,24.690001,24.491915,80900
12/04/2024,24.51,24.66,24.190001,24.24,24.045527,49100
15/04/2024,24.440001,24.9,23.98,24.07,23.876888,73700
16/04/2024,23.969999,23.969999,23.629999,23.74,23.549538,61400
17/04/2024,23.85,23.99,23.309999,23.32,23.132906,65300
18/04/2024,23.35,23.690001,23.200001,23.57,23.380901,87300
19/04/2024,23.49,24.290001,23.49,24,23.807451,89900
22/04/2024,24.280001,25.040001,24.07,24.93,24.72999,118000
23/04/2024,24.75,25.49,24.75,25.18,24.977985,87600
24/04/2024,25.059999,25.620001,24.9,25.42,25.216059,116300
25/04/2024,24.9,24.940001,24.549999,24.709999,24.511753,60000
26/04/2024,24.700001,25.059999,24.629999,24.92,24.72007,155400
29/04/2024,25.049999,26.16,25.049999,26.1,25.890602,84100
30/04/2024,25.82,26.120001,25.5,25.58,25.374775,135800
01/05/2024,25.66,26,25.42,25.809999,25.60293,59000
02/05/2024,27,28.18,25.17,25.65,25.444214,245300
03/05/2024,26.129999,26.559999,25.49,26,25.905531,127900
06/05/2024,26.309999,26.309999,25.540001,25.74,25.646475,92700
07/05/2024,25.799999,26.120001,25.48,25.559999,25.467129,99600
08/05/2024,25.440001,25.889999,25.440001,25.549999,25.457165,417900
09/05/2024,25.73,26.41,25.530001,26.309999,26.214403,100300
10/05/2024,26.299999,26.299999,25.780001,26.02,25.925459,166500
13/05/2024,26.200001,26.719999,26.129999,26.540001,26.443569,167200
14/05/2024,26.91,27.24,26.290001,26.540001,26.443569,100800
15/05/2024,26.799999,26.799999,26.190001,26.440001,26.343933,154600
16/05/2024,26.559999,26.700001,26.25,26.690001,26.593023,97800
17/05/2024,26.799999,27.5,26.639999,27.07,26.971642,138400
20/05/2024,27.059999,27.190001,26.549999,26.559999,26.463495,54400
21/05/2024,26.530001,26.620001,26.23,26.559999,26.463495,64300
22/05/2024,26.23,26.59,26.139999,26.4,26.304077,75300
23/05/2024,26.4,26.639999,26.26,26.48,26.383785,88100
24/05/2024,26.530001,26.809999,26.370001,26.719999,26.622913,95700
28/05/2024,26.889999,27.190001,26.59,26.629999,26.533241,68300
29/05/2024,26.32,26.700001,26.209999,26.209999,26.114767,138200
30/05/2024,26.26,26.75,26.219999,26.620001,26.523279,79500
31/05/2024,26.68,27.309999,26.549999,26.889999,26.792295,567100
03/06/2024,27.219999,27.219999,26.360001,26.440001,26.343933,144500
04/06/2024,27.24,28.43,27,27.940001,27.838482,338400
05/06/2024,28.02,28.799999,27.790001,28.629999,28.525974,274600
06/06/2024,28.379999,29.08,28.379999,28.809999,28.70532,101200
07/06/2024,28.440001,28.74,28.33,28.34,28.237028,102900
10/06/2024,28.01,28.49,27.77,28.4,28.29681,123500
11/06/2024,28.200001,28.25,27.85,27.91,27.80859,80800
12/06/2024,28.940001,29.549999,28.700001,29,28.89463,232400
13/06/2024,28.92,29.52,28.43,29.129999,29.024157,166600
14/06/2024,28.6,29.1,28.01,28.120001,28.017828,102900
17/06/2024,27.879999,28.190001,27.52,27.540001,27.439936,77800
18/06/2024,27.66,27.73,27.17,27.33,27.230698,77600
20/06/2024,27.280001,27.459999,26.85,26.92,26.822187,57600
21/06/2024,26.940001,27.879999,26.93,27.280001,27.18088,178800
24/06/2024,27.360001,27.969999,27.200001,27.370001,27.270554,90100
25/06/2024,27.370001,27.370001,26.889999,27.08,26.981606,81500
26/06/2024,26.9,27.51,26.799999,26.9,26.802259,135900
27/06/2024,27.09,27.09,26.450001,26.93,26.832151,152100
28/06/2024,27.17,27.389999,26.459999,26.84,26.742479,351300
01/07/2024,27.040001,27.040001,26.309999,26.51,26.413677,67600
02/07/2024,26.59,27.4,26.51,27.389999,27.29048,147700
03/07/2024,27.709999,27.709999,26.870001,27.18,27.081244,60200
05/07/2024,27.1,27.219999,26.059999,26.18,26.084877,92600
08/07/2024,26.370001,26.68,26.190001,26.309999,26.214403,68100
09/07/2024,26.18,26.4,25.879999,26.02,25.925459,49700
10/07/2024,26.16,26.280001,25.84,26.280001,26.184513,34200
11/07/2024,26.860001,27.66,26.73,27.450001,27.350264,114100
12/07/2024,27.84,28.139999,27.559999,27.66,27.5595,118600
15/07/2024,27.870001,28.309999,27.76,28.200001,28.097538,102800
16/07/2024,28.58,29.15,28.33,28.82,28.715284,123900
17/07/2024,28.790001,29.209999,28.5,29.07,28.964376,123100
18/07/2024,28.889999,29.950001,28.889999,29.34,29.233395,102300
19/07/2024,29.34,30.09,29.34,30.02,29.910925,185000
22/07/2024,30.01,30.6,29.65,30.389999,30.279579,137300
23/07/2024,30.34,30.889999,30.16,30.549999,30.438997,84900
24/07/2024,30.52,31.139999,30.280001,30.379999,30.269615,64700
25/07/2024,30.4,31.219999,30.4,30.92,30.807653,113300
26/07/2024,31.450001,31.68,31.15,31.59,31.47522,108000
29/07/2024,31.73,32.18,31.26,31.780001,31.66453,85200
30/07/2024,31.98,32.450001,31.540001,31.98,31.863802,324100
31/07/2024,31.73,32.560001,31.530001,32.060001,31.943514,134100
01/08/2024,34.049999,35,31.91,32.389999,32.272312,271100
02/08/2024,32.389999,32.389999,30.77,31.1,30.987,160100
05/08/2024,30.01,30.01,28.85,29.139999,29.139999,153800
06/08/2024,29.139999,29.75,29,29.4,29.4,110800
07/08/2024,29.77,29.790001,28.790001,28.889999,28.889999,81300
08/08/2024,29.799999,30.07,29.209999,30,30,79000
09/08/2024,29.879999,30.049999,29.530001,30.01,30.01,203100
12/08/2024,30.1,30.190001,29.75,29.99,29.99,93400
13/08/2024,30.17,30.5,29.559999,30.34,30.34,154400
14/08/2024,30.26,30.32,29.879999,30.200001,30.200001,95700
15/08/2024,30.799999,31.26,30.5,31.139999,31.139999,105000
16/08/2024,31.25,31.75,31.25,31.43,31.43,132300
19/08/2024,31.26,31.48,31.02,31.299999,31.299999,80500
20/08/2024,31.24,31.34,31.040001,31.33,31.33,73600
21/08/2024,31.52,31.530001,31.129999,31.440001,31.440001,52000
22/08/2024,31.459999,31.639999,31.27,31.35,31.35,76200
23/08/2024,31.530001,32.360001,31.469999,32.299999,32.299999,87900
26/08/2024,32.650002,32.880001,32.23,32.52,32.52,129400
27/08/2024,32.389999,32.860001,32.34,32.66,32.66,69600
28/08/2024,32.529999,33.07,32.529999,32.880001,32.880001,96500
29/08/2024,33.09,33.099998,32.599998,32.889999,32.889999,89600
30/08/2024,33,33.290001,32.77,33.150002,33.150002,173200
03/09/2024,32.869999,33.18,32.560001,32.810001,32.810001,91600
04/09/2024,32.869999,33.09,32.669998,33.009998,33.009998,92700
